Tempo_ms,Angulo_Real_graus,Alvo_graus
1200,8.5,75.0
1280,8.5,75.0
1360,8.5,75.0
1440,8.5,75.0
1520,8.5,75.0
1600,8.5,75.0
1680,8.5,75.0
1760,8.5,75.0
1840,8.5,75.0
1920,8.5,75.0
2000,8.5,75.0
2080,8.5,75.0
2160,8.5,75.0
2240,8.5,75.0
2320,8.5,75.0
2400,8.5,75.0
2480,8.5,75.0
2560,8.5,75.0
2640,8.5,75.0
2720,8.5,75.0
2800,8.75,75.0
2880,10.75,75.0
2960,16.25,75.0
3040,23.75,75.0
3120,31.5,75.0
3200,41.25,75.0
3280,52.0,75.0
3360,62.0,75.0
3440,69.0,75.0
3520,71.5,75.0
3600,70.0,75.0
3680,65.5,75.0
3760,55.25,75.0
3840,44.25,75.0
3920,39.5,75.0
4000,42.75,75.0
4080,52.25,75.0
4160,62.5,75.0
4240,68.25,75.0
4320,70.0,75.0
4400,69.0,75.0
4480,67.0,75.0
4560,65.0,75.0
4640,63.75,75.0
4720,63.75,75.0
4800,64.25,75.0
4880,65.25,75.0
4960,66.0,75.0
5040,66.75,75.0
5120,67.25,75.0
5200,67.5,75.0
5280,67.75,75.0
5360,68.0,75.0
5440,68.25,75.0
5520,68.5,75.0
5600,68.5,75.0
5680,68.5,75.0
5760,68.75,75.0
5840,69.0,75.0
5920,69.25,75.0
6000,69.25,75.0
6080,69.5,75.0
6160,69.75,75.0
6240,69.75,75.0
6320,69.5,75.0
6400,69.5,75.0
6480,69.5,75.0
6560,69.5,75.0
6640,69.5,75.0
6720,69.5,75.0
6800,69.5,75.0
6880,69.5,75.0
6960,69.75,75.0
7040,69.75,75.0
7120,69.75,75.0
7200,69.5,75.0
7280,69.75,75.0
7360,69.75,75.0
7440,69.75,75.0
7520,69.75,75.0
7600,70.0,75.0
7680,70.0,75.0
7760,70.0,75.0
7840,70.0,75.0
7920,70.25,75.0
8000,70.25,75.0
8080,70.25,75.0
8160,70.25,75.0
8240,70.25,75.0
8320,70.0,75.0
8400,70.0,75.0
8480,69.75,75.0
8560,69.5,75.0
8640,69.5,75.0
8720,69.5,75.0
8800,69.25,75.0
8880,69.25,75.0
8960,69.0,75.0
9040,69.0,75.0
9120,68.75,75.0
9200,68.75,75.0
9280,68.5,75.0
9360,68.75,75.0
9440,69.0,75.0
9520,68.75,75.0
9600,68.75,75.0
9680,69.0,75.0
9760,69.25,75.0
9840,69.75,75.0
9920,70.25,75.0
10000,70.75,75.0
10080,71.25,75.0
10160,71.5,75.0
10240,71.5,75.0
10320,71.5,75.0
10400,71.25,75.0
10480,71.25,75.0
10560,71.5,75.0
10640,71.75,75.0
10720,72.0,75.0
10800,72.25,75.0
10880,72.25,75.0
10960,72.0,75.0
11040,72.0,75.0
11120,72.0,75.0
11200,72.0,75.0
11280,72.0,75.0
11360,71.75,75.0
11440,71.5,75.0
11520,71.5,75.0
11600,71.75,75.0
11680,71.75,75.0
11760,71.75,75.0
11840,71.5,75.0
11920,71.5,75.0
12000,71.5,75.0
12080,71.5,75.0
12160,71.5,75.0
12240,71.5,75.0
12320,71.5,75.0
12400,71.5,75.0
12480,71.5,75.0
12560,71.5,75.0
12640,71.5,75.0
12720,71.5,75.0
12800,71.75,75.0
12880,71.5,75.0
12960,71.75,75.0
13040,71.5,75.0
13120,71.5,75.0
13200,71.5,75.0
13280,71.5,75.0
13360,71.75,75.0
13440,72.0,75.0
13520,71.75,75.0
13600,71.75,75.0
13680,72.0,75.0
13760,72.0,75.0
13840,72.0,75.0
13920,72.0,75.0
14000,72.0,75.0
14080,72.0,75.0
14160,72.0,75.0
14240,72.0,75.0
14320,72.0,75.0
14400,72.0,75.0
14480,71.75,75.0
14560,71.75,75.0
14640,71.75,75.0
14720,71.75,75.0
14800,71.5,75.0
14880,71.5,75.0
14960,71.75,75.0
15040,72.0,75.0
15120,72.0,75.0
15200,72.25,75.0
15280,72.25,75.0
15360,72.5,75.0
15440,72.5,75.0
15520,72.5,75.0
15600,72.5,75.0
15680,72.5,75.0
15760,72.5,75.0
15840,72.5,75.0
15920,72.5,75.0
16000,72.5,75.0
16080,72.5,75.0
16160,72.5,75.0
16240,72.25,75.0
16320,72.25,75.0
16400,72.25,75.0
16480,72.25,75.0
16560,72.25,75.0
16640,72.25,75.0
16720,72.25,75.0
16800,72.25,75.0
16880,72.25,75.0
16960,72.25,75.0
17040,72.25,75.0
17120,72.5,75.0
17200,72.5,75.0
17280,72.75,75.0
17360,72.75,75.0
17440,67.75,75.0
17520,50.5,75.0
17600,38.25,75.0
17680,38.0,75.0
17760,48.5,75.0
17840,65.0,75.0
17920,82.25,75.0
18000,95.5,75.0
18080,103.5,75.0
18160,105.75,75.0
18240,103.0,75.0
18320,96.25,75.0
18400,86.25,75.0
18480,74.5,75.0
18560,63.25,75.0
18640,56.0,75.0
18720,53.75,75.0
18800,56.75,75.0
18880,62.75,75.0
18960,70.0,75.0
19040,76.0,75.0
19120,79.75,75.0
19200,81.0,75.0
19280,79.75,75.0
19360,77.25,75.0
19440,74.0,75.0
19520,71.25,75.0
19600,69.75,75.0
19680,69.75,75.0
19760,70.5,75.0
19840,71.5,75.0
19920,72.25,75.0
20000,72.5,75.0
20080,72.5,75.0
20160,72.5,75.0
20240,72.5,75.0
20320,72.5,75.0
20400,72.5,75.0
20480,72.75,75.0
20560,73.0,75.0
20640,73.75,75.0
20720,74.25,75.0
20800,74.75,75.0
20880,75.25,75.0
20960,75.25,75.0
21040,75.25,75.0
21120,75.0,75.0
21200,74.75,75.0
21280,75.0,75.0
21360,75.0,75.0
21440,75.0,75.0
21520,74.75,75.0
21600,74.75,75.0
21680,74.75,75.0
21760,75.0,75.0
21840,75.0,75.0
21920,75.0,75.0
22000,74.75,75.0
22080,74.75,75.0
22160,74.75,75.0
22240,74.75,75.0
22320,75.0,75.0
22400,75.25,75.0
22480,75.25,75.0
22560,75.5,75.0
22640,75.5,75.0
22720,75.75,75.0
22800,75.5,75.0
22880,75.5,75.0
22960,75.5,75.0
23040,75.5,75.0
23120,75.5,75.0
23200,75.5,75.0
23280,75.5,75.0
23360,75.5,75.0
23440,75.5,75.0
23520,75.25,75.0
23600,75.25,75.0
23680,75.25,75.0
23760,75.25,75.0
23840,75.25,75.0
23920,75.25,75.0
24000,75.25,75.0
24080,75.25,75.0
24160,75.25,75.0
24240,75.25,75.0
24320,75.25,75.0
24400,79.75,75.0
24480,98.5,75.0
24560,114.75,75.0
24640,125.25,75.0
24720,130.5,75.0
24800,131.0,75.0
24880,126.25,75.0
24960,116.75,75.0
25040,102.75,75.0
25120,85.0,75.0
25200,65.5,75.0
25280,48.5,75.0
25360,39.5,75.0
25440,41.0,75.0
25520,51.0,75.0
25600,65.5,75.0
25680,79.25,75.0
25760,88.75,75.0
25840,92.5,75.0
25920,90.75,75.0
26000,84.5,75.0
26080,75.5,75.0
26160,66.0,75.0
26240,58.5,75.0
26320,55.0,75.0
26400,56.25,75.0
26480,61.0,75.0
26560,67.25,75.0
26640,72.75,75.0
26720,76.0,75.0
26800,76.75,75.0
26880,75.75,75.0
26960,73.75,75.0
27040,71.75,75.0
27120,70.5,75.0
27200,70.0,75.0
27280,70.25,75.0
27360,71.25,75.0
27440,72.0,75.0
27520,72.5,75.0
27600,72.75,75.0
27680,72.25,75.0
27760,72.0,75.0
27840,71.75,75.0
27920,71.75,75.0
28000,71.75,75.0
28080,71.75,75.0
28160,71.75,75.0
28240,71.75,75.0
28320,71.75,75.0
28400,71.75,75.0
28480,72.0,75.0
28560,72.0,75.0
28640,72.0,75.0
28720,72.0,75.0
28800,72.25,75.0
28880,72.25,75.0
28960,72.25,75.0
29040,72.0,75.0
29120,72.0,75.0
29200,72.0,75.0
29280,72.25,75.0
29360,72.25,75.0
29440,72.5,75.0
29520,72.5,75.0
29600,72.5,75.0
29680,72.5,75.0
29760,72.75,75.0
29840,73.0,75.0
29920,73.25,75.0
30000,73.5,75.0
30080,73.5,75.0
30160,73.25,75.0
30240,73.25,75.0
30320,73.0,75.0
30400,73.0,75.0
30480,73.0,75.0
30560,73.25,75.0
30640,73.0,75.0
30720,73.0,75.0
30800,73.25,75.0
30880,73.5,75.0
30960,73.25,75.0
31040,73.25,75.0
31120,73.0,75.0
31200,73.0,75.0
31280,73.0,75.0
31360,73.0,75.0
31440,73.0,75.0
31520,73.0,75.0
31600,73.0,75.0
31680,73.0,75.0
31760,73.0,75.0
31840,73.0,75.0
31920,73.25,75.0
32000,73.25,75.0
32080,73.5,75.0
32160,73.5,75.0
32240,73.5,75.0
32320,73.5,75.0
32400,73.25,75.0
32480,73.5,75.0
32560,73.5,75.0
32640,73.75,75.0
32720,73.75,75.0
32800,73.75,75.0
32880,73.75,75.0
32960,73.75,75.0
33040,73.75,75.0
33120,73.75,75.0
33200,73.75,75.0
33280,74.0,75.0
33360,74.0,75.0
33440,74.25,75.0
33520,74.25,75.0
33600,74.5,75.0
33680,74.75,75.0
33760,74.75,75.0
33840,74.75,75.0
33920,74.75,75.0
34000,74.75,75.0
34080,74.75,75.0
34160,75.0,75.0
34240,75.0,75.0
34320,75.0,75.0
34400,75.0,75.0
34480,75.0,75.0
34560,75.0,75.0
34640,75.0,75.0
34720,75.0,75.0
34800,75.0,75.0
34880,75.0,75.0
34960,75.25,75.0
35040,75.5,75.0
35120,76.0,75.0
35200,76.25,75.0
35280,76.5,75.0
35360,76.5,75.0
35440,76.5,75.0
35520,76.5,75.0
35600,76.25,75.0
35680,76.25,75.0
35760,76.25,75.0
35840,76.25,75.0
35920,76.25,75.0
36000,76.25,75.0
36080,76.25,75.0
36160,76.5,75.0
36240,76.5,75.0
36320,76.5,75.0
36400,76.25,75.0
36480,76.25,75.0
36560,76.25,75.0
36640,76.5,75.0
36720,76.5,75.0
36800,76.25,75.0
36880,76.25,75.0
36960,76.0,75.0
37040,76.0,75.0
37120,75.75,75.0
37200,75.5,75.0
37280,75.25,75.0
